Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header
"Nipple sparing mastectomy with reconstruction with ADM, Mentor Siltex round moderate plus profile cohesive 1. Advice? (photos)","June 5, 2018","Germany, DE","Operation 3 month ago in Germany.After chemotherapy.I think the implants are too high.The nipple looks down.At the bottom of the breast,the skin is as if empty,it is not stretched over the implant.Feeling that there is a lot of excess skin.If I'm hunched,it turns out quite ugly.I can conclude that the operation was performed incorrectly?Or has not so much time passed and the dermal matrix should stretch and the appearance will change?Also you can see the edges of the implant.","Nipple sparing mastectomy with reconstruction with ADM, Mentor Siltex round moderate plus profile cohesive 1. Advice? (photos)"
How can my breasts be fixed after breast implant removal? (Photos),"June 17, 2018","Berlin, DE",I had breast implants for over 40 years. They were changed 3 times. I had problems with capsular contracture which got worse with the last replacement. I had the implants removed 6 months ago. My right breast is a mess. It feels like the nipple is attached to my chest wall. Is there a way to fix this?,How can my breasts be fixed after breast implant removal? (Photos)
Hi I Recently Had Breast Recontruction What Cup Size is a 600 Cc?,"November 1, 2011","Miami Beach, FL",recently had breast reconstruction due to breast cancer. i wanted to know what cup size is a style 45 600 cc of Natrelle thanks,Hi I Recently Had Breast Recontruction What Cup Size is a 600 Cc?
Are my drainage amount normal after double mastectomy and reconstruction?,"November 3, 2018","Auckland, NZ","Hi there, I’ve had double mastectomy with skin sparing reconstruction 5 weeks ago and my drains are still over 50ml. Is that normal? My surgeon doesn’t want to take them out unless they are under 30ml for 2 consecutive days. They are real bothering me. What should I do?",Are my drainage amount normal after double mastectomy and reconstruction?
Why am I getting shooting pain in left breast 5 years after implant surgery following mastectomy due to breast cancer?,"December 20, 2014","Auberry, CA","I had bilateral mastectomy after breast cancer in 2007. In 2009 I had reconstruction with implants in both breasts. No nipple reconstruction. Now, 5 years later I have developed shooting pain in my left breast. Today it has been every 5-10 minutes! My surgeon is away on holidays. Hence this forum. Would some plastic surgeon please let me know why this pain is coming 5 years after my surgery? Is it something that can wait until after 13th January when my surgeon returns to work? BB from Sydney",Why am I getting shooting pain in left breast 5 years after implant surgery following mastectomy due to breast cancer?
How Long Do Jackson Pratt Drains Stay in After Bilateral Mastectomy?,"May 7, 2012","Decatur, AL","I had bilateral mastectomy and reconstruction with TEs April 3, 2012 and it is now May 7 and I still have 2 drains. My PS won&#39;t take drains out until the 24 hour total is 15cc or less for at least 2 days. I have kept the site clean and clear of infection but it&#39;s getting extremely sore. I have maintained a 24 hour output of 20cc for over a week but my PS still will not remove these drains. I guess each PS has their own drain output requirement before removing and there&#39;s no set amount, right?",How Long Do Jackson Pratt Drains Stay in After Bilateral Mastectomy?
My plastic surgeon said he will inject some saline in the expander during the initial mastectomy surgery.,"April 9, 2018","Santa Barbara, CA",How much saline can be safely injected at that time and what are the advantages/disadvantages or risks?,My plastic surgeon said he will inject some saline in the expander during the initial mastectomy surgery.
Do I have an infection and do I need to speed up the process before my 6 week appointment? (Photo),"August 5, 2018","Oklahoma City, OK",My surgeon did a tram flap reconstruction on me. My stitches were removed Thursday and my belly button isn’t looking that good anymore. The breast itself keeps getting blisters. My doctor has had me putting bacitracin and yellow petroleum type bandage on the breast to keep it moist and help it heal. Also my middle finger and index along with my thumb have been numb since surgery. Is this something I should be concerned with. I had lymph nodes removed. My arm has been swollen since waking up.,Do I have an infection and do I need to speed up the process before my 6 week appointment? (Photo)
"825 cc Motiva breast implants, stitches popping up","June 9, 2018","Toronto, ON","Hello...i had a reconstructive under the muscle breast augmentation in 15th of March ..I had all my stitches removed 1 month after the surgery . Few days ago i noticed stitches popping up under my breast ...it's been 11 weeks after the post up could you please advise me , should i leave the stitches in or should i seek for professional help to have them removed ?!","825 cc Motiva breast implants, stitches popping up"
"I had a TRAM flap recon on 15th Aug. 2 weeks later, doc realized the right drainage was not working as I felt abdomen pain.","September 7, 2017","Singapore, SG","The tube was removed to allow excessive blood to flow. Since then, I have been feeling lower right abdomen pain. The pain can happen anytime: walking, eating, laughing, lying down.. It is still bearable but is that normal? Or when will the pain be gone as I need to go for chemo treatment soon.","I had a TRAM flap recon on 15th Aug. 2 weeks later, doc realized the right drainage was not working as I felt abdomen pain."
About scars and the best way to make them less noticeable.,"August 12, 2016","Los Angeles, CA","After DMX and reconstruction, finished about 3 months ago, I have very notiable across the chest scars. I have got a very white, pale complexion. Scars are slighly red and noticiable. I hate them. My PS says they are normal scars. I use rose hip oil once a day, most days. Questions: 1) Do scars fade with the passing of time? How long do I have to wait to see that? 2) What can be done and what should be avoided to make scars less noticiable? 3) If I sunbathe would it make scars worse or better? Thanks.",About scars and the best way to make them less noticeable.
"Do I need antibiotics before a pap smear 6 months post op after breast cancer/implants? If so, is amoxicillin OK?","July 30, 2018","Lombard, IL",I had an infection 1 month post op prbly from a dental cleaning with no prophylactic antibiotics. It cleared up with it anti biotics,"Do I need antibiotics before a pap smear 6 months post op after breast cancer/implants? If so, is amoxicillin OK?"
Are over the muscle implants for reconstruction post mastectomy in the skin that was radiated 9 years ago a good option?,"April 19, 2018","Calabasas, CA",I am having a bi lateral mastectomy after breast cancer reoccurrence. I had radiation 9 years ago on one breast and am now weighing reconstruction options. Implant over the muscle? I would prefer not to do under the muscle do to the many women who complain about it. I considered autologous procedure but am told i do not have enough tissue for this. Thoughts? Should I be concerned about complications? thank you,Are over the muscle implants for reconstruction post mastectomy in the skin that was radiated 9 years ago a good option?
"1 breast higher than other 2 weeks post bilateral DIEP flap reconstruction, will they even out since its early in recovery?","April 11, 2018",Nj,,"1 breast higher than other 2 weeks post bilateral DIEP flap reconstruction, will they even out since its early in recovery?"
"Open wound, dont know what to do, any suggestions? (Photos)","August 4, 2018",,21 days post-op and I’m freaking out. My doctor told me to put butterfly stitches around my areola. I did so and when I changed them It seems that one of stitches are opening up. Also afraid that one nipple is smaller than the other. How do I heal this open wound?? Please someone help.,"Open wound, dont know what to do, any suggestions? (Photos)"
Removing wrinkles/folds in armpit after mastectomy and implants (Photo),"June 5, 2018","Thousand Oaks, CA","I had a double mastectomy for DCIS about six years and saline implants. I have developed wrinkles/folds on ""side boobs"" and armpit. I have been considering options for getting rid of these because they are bothersome when wear strapless dresses/tops. Some suggested CoolSculpting, but another provider said there is little fat under the areas and suggested surgical excision and ""tightening"". It would be great to have a minimally invasive procedure. Any suggestions? PDO Threads maybe?",Removing wrinkles/folds in armpit after mastectomy and implants (Photo)
Should I be worried about infection?,"March 22, 2016","Tacoma, WA","I had second stage reconstruction 8 days ago. The I utput in my drains was 20-25 for 3 consecutive days and they were removed yesterday. I have had increased pain at one specific spot on the incision for one breast. Should I be concerned about infection or a sermon? The site is not hot to the touch or red, but very painful where the other incision is pain free. Im concerned because the output in my drain on this side was a deep red. Very different than the other side.",Should I be worried about infection?
How long should someone abstain from alcohol before general anesthesia?,"January 14, 2016","Rochester, NY","I drink three to four glasses of wine daily with dinner. Should I stop the wine before going under anesthesia, and if so, for how long?",How long should someone abstain from alcohol before general anesthesia?
Why do the outside get extremely itchy 17 years post-op?,"September 29, 2018","Briarcliff Manor, NY","Hi, I had double mastectomy 17 years ago. Saline implants. Now the outside gets extremely itchy.",Why do the outside get extremely itchy 17 years post-op?
Why am I getting differing opinions on GAP flap procedure?,"September 28, 2018","Chicago, IL","I am a thin patient with a uni-lateral mastectomy. They put an implant initially but I've had complications. One surgeon says that he can do a GAP flap using tissue from just one buttock to create the breast mound. Another surgeon says they he can take tissue from both posterior hips, stack them together connecting blood supply, and then use that to create the breast mound. Is It based on experience only?",Why am I getting differing opinions on GAP flap procedure?
I had gummy bear implants replace expanders 5 weeks ago. One breast has become all lumpy. What would cause this?,"March 2, 2017","Dayton, OH",,I had gummy bear implants replace expanders 5 weeks ago. One breast has become all lumpy. What would cause this?
Can I have a ruptured implant taken out if I am pregnant?,"August 20, 2018","Liverpool, GB","Pip implant Rupture Early pregnancy Hi my breast implant is ruptured I am a case from the pip implant scandal, I have been getting pain in my arm pit and and have swelling in the area, i have had a ore a sore right breast and surrounding area I have only self medication for the pain, can I be operated on still or not now I am pregnant?",Can I have a ruptured implant taken out if I am pregnant?
"If fat grafting doesnt fill upper pole after reconstruction, will a higher profile implant fill up more of the concave space?","May 16, 2018",,I had my tissue expander exchange with fat grafting 3 weeks ago. Now that the swelling has gone down I have noticed the upper pole caves when I use my pec muscles. I understand that fat grafting can take a couple visits but my doctor said I didn’t have much fat to work with from the beginning. I’m wondering if I went with a higher volume and profile implant if that would help? I currently have 605 cc Nautrelle Inspira. With 70 cc of fat added. I’m 5’5 125 lbs with 32 inch band size.,"If fat grafting doesnt fill upper pole after reconstruction, will a higher profile implant fill up more of the concave space?"
What are my options to improve the aesthetics of my implant reconstruction? (Photos),"May 20, 2018","Geelong, AU","Diagnosed stage 3 breast cancer June 2016. I had bilateral mastectomy with immediate direct to implant reconstruction November 2016 (post chemotherapy). I had radiotherapy January 2017. I’m very happy with the left breast, but the right sits higher and tighter than the left (I expect at least in part due to radiotherapy). I have had some laser treatment with limited success. What options do I have to improve the symmetry this please? Thank you",What are my options to improve the aesthetics of my implant reconstruction? (Photos)
Is there a way to make my natural side nipple more symmetrical to mastectomy side? (Photos),"October 8, 2018","Tennessee, TN","I had a nipple sparing unilateral mastectomy last year with my reconstruction just a week ago. Although my mastectomy was nipple sparing, my nipple never really ""poked out"" again. My surgeon did a prepectoral implant on the mastectomy side and dual plane implant on natural side. Now my natural side nipple really protrudes. Now my mastectomy side is round/full with flat nip and natural side is not as round/full and pokey. Is there a way to correct this?",Is there a way to make my natural side nipple more symmetrical to mastectomy side? (Photos)
How long after acellular dermal matrix repair surgery should I wait before fat grafting?,"October 8, 2018","Atlanta, GA","I am getting breast repair with strattice. If all goes well, I am wondering how long I should wait before fat grafting to the breast. I know I need to have a consult and speak to my current doc, but I am always interested in hearing multiple perspectives.",How long after acellular dermal matrix repair surgery should I wait before fat grafting?
"I had reconstruction surgery after a mastectomy 10 years ago, now Im experiencing pain. What could it be?","October 2, 2018","Thetford, I9",,"I had reconstruction surgery after a mastectomy 10 years ago, now Im experiencing pain. What could it be?"
"After double mastectomy & reconstruction with implants, my implants are too big. Is it possible to have smaller ones put in?","October 25, 2015","Richmond, VA","Before double mascectomy I was a 32A. I'm small, 5'5"" and 110 pounds. After reconstruction and implants put in 2 months ago I'm a 34C. I wanted to stay small, no larger than a 32B or 34B. Staying in the A cup size would have been fine also. I just don't know if it's possible to small again. Getting very depressed about the larger size.","After double mastectomy & reconstruction with implants, my implants are too big. Is it possible to have smaller ones put in?"
What do I do now - tight chest muscle 4th implant and had Doris flap to soften breast (photo),"April 20, 2016","Australia, AU","Double mast. 2009, tissue exp. 6 mths radio L breast. 12 mths perm implants 3 mths nipples grafted, 9 mths severe contract implant migrated 2 armpit. Replaced @ 3 mths -infection. 2 years pain skin thin, tight - Dorsi flap surgery 4 softness excess skin 4 stretching. Hematoma @ surgery emergency replaced. Now L side v tight pain on breath & touch. Scar itchy & turned keloid. I lower my arm it hits implant feels bruised inside. Arm lifts only 80% tight shoulder trap muscles contracted.",What do I do now - tight chest muscle 4th implant and had Doris flap to soften breast (photo)
"3 weeks post op and notice hard lump under nipples, is it normal? (photos)","June 29, 2015","Australia, AU","I had bilateral mastectomy 3 weeks ago. I feel there's a hard mass underneath my nipples.My doctor told me to keep massaging the area and continue wearing the compression garment. After a few days of massaging, i felt soreness on both and noticed it has swollen again. The bruising is almost gone but i worry about the swelling and the hard lump.","3 weeks post op and notice hard lump under nipples, is it normal? (photos)"
Have you carried out this procedure and what success rate is there?,"March 18, 2015","Canberra, AU","I had DCIS 5 years ago. half my left breast was taken Surgically and the area was radiated. my surgeon would like to lift my nipple, up and in, to give me a better look and then reduce the size of my health breast to match. My Surgeon will only incise the top half of my radiated nibble leaving the bottom portion still attached, to give the nipple the best chance of survival.",Have you carried out this procedure and what success rate is there?
Am I candidate to be a size C after cancer 7 years ago? (Photos),"October 21, 2018",Hartwell ga ,"I had cancer 7 years ago now cancer free would like to be a size c love to see if I’d be a candidate please. I’m on the hospital sponsershipbcause program. I don't know if it covers this at Greenville but I would certainly like to meet and see my options, it'd be good idea",Am I candidate to be a size C after cancer 7 years ago? (Photos)
How much bigger than your natural breast size can you go with direct-to-implant breast reconstruction?,"May 18, 2018","Los Angeles, CA","I am interested in the direct-to-implant breast reconstruction technique versus the expanders. If I am an A/B cup now, would it be possible to go to a full B if I did the direct-to-implant technique? Could I even go bigger to a small C?",How much bigger than your natural breast size can you go with direct-to-implant breast reconstruction?
What can be done to improve my breast reconstruction after a bilateral mastectomy? (Photo),"July 27, 2018","Northampton, GB","I am extremely disappointed with the results. Breasts do not appear symmetrical. Implants are bigger than I requested, have dog ears and spare skin at top. Any suggestions? I am 4 months post op.",What can be done to improve my breast reconstruction after a bilateral mastectomy? (Photo)
I had breast reconstruction 6 years ago with silicone implants. No problems until developed burning pain after stretch. Rupture?,"May 16, 2018","Grand Blanc, MI",The stretch was in kneeling with arms out on floor and bringing chest toward floor. I’ve done this before but went a little farther this time. No pain at the time but it developed a few sec after I stopped. Pain was located in center of right breast (area of scar). My surgeon retired and I can’t get in to see another one for 4 months. Do I need to seek more urgent care?,I had breast reconstruction 6 years ago with silicone implants. No problems until developed burning pain after stretch. Rupture?
Is it possible that the expander is in the wrong place? Or am I just still healing from surgery?,"July 6, 2018","Illinois, IL","I am just over 2 wks post bilateral mastectomy with expanders placed. I also had lymph node dissection on the right. My left side is fully functional and comfortable. I realize it will take longer to heal on the right, but I feel as though my expander is off. I am not comfortable at all on that side at some points, but am fine at others. Breathing in hurts at times as well. I'm miserable a good deal of the time, and can't take much more and I'm looking at 7 mos or more before I can have exchange",Is it possible that the expander is in the wrong place? Or am I just still healing from surgery?
Are there any breast implants that will give you volume at the top of your breasts after a mastectomy?,"June 1, 2018","Memphis, TN",I have very protruding chest bones. Before cancer the implants I had filled in the area nicely but after the mastectomy I had smaller implants and I had forgotten how bad my chest stuck out. I won't eve wear scoop neck tops. Please tell me there is something I can do.,Are there any breast implants that will give you volume at the top of your breasts after a mastectomy?
"Did my right implant move, and what can I do to the disfigured and fluid filled left breast/implant? 3 years post reconstruction","July 14, 2018","Ontario, CA","I was in a car accident almost 4 years ago now. approximately 3 years post double mastectomy and reconstruction. My concerns post MVA were ""sluffed off"". I was told the fluid would be absorbed. But now I'm concerned. Swelling began in the left breast. The nipple is jutted outwards, downwards pointed, and puckered at the bottom. Size difference in breasts is very visible. My right breast has a puckered and sagged fold of skin along the bottom to side of rib cage. Photos provided.","Did my right implant move, and what can I do to the disfigured and fluid filled left breast/implant? 3 years post reconstruction"
Controlling the nipple areolar complex position during bilateral mastectomy with tissue expansion under the muscle.,"June 30, 2018","New York, NY",My surgeon did something involving stitches that are on my nipple and said something about this helping control the final NAC position. I can't find any details about this technique. The stitches make my NAC slightly inverted during tissue expansion. My breasts were wide set and relatively small though and perky-- full A cup or nearly B. Anyone ever heard of a technique like this?,Controlling the nipple areolar complex position during bilateral mastectomy with tissue expansion under the muscle.
I just had reconstructive surgery to fix a double bubble; why did my doctor fix one boob & not the other? (Photos),"May 9, 2017","Rapid City, SD",can u please tell me why he fixed on boob and not the other? He fixed the pocket on one and it didn't look like he did [RS bleep] on the other... sorry for my language,I just had reconstructive surgery to fix a double bubble; why did my doctor fix one boob & not the other? (Photos)
Is Red Light Therapy safe with breast implant after mastectomy?,"March 28, 2016","Manorville, NY",,Is Red Light Therapy safe with breast implant after mastectomy?
What surgical plan would you recommend for unilateral LCIS diagnosis? (Photos),"April 29, 2019",,"What surgical plan would you recommend? And why? Where would the incisions be? Captions provide info. Mri reads: l. Breast : extremely dense breast tissue... Irregular, segmentally oriented, clumped non masslike enhancement w/in the superior breast, at the 11 o'clock segment, from 7.5 Cm posterior to the nipple to the 12 o'clock position, 5 cm posterior to the nipple. The area of involvement is approximately 5.1 Cm ap by 1.4 Cm transversely by 2.1 Cm craniocaudal. Enhancement: variable, progressive to washout...Values up to 110 %. Findings highly concerning for dcis tyrer-cuzick score: 63>#/p###",What surgical plan would you recommend for unilateral LCIS diagnosis? (Photos)
Is there reduced pectoral muscle function after a subpectoral mastectomy reconstruction with implant?,"August 25, 2019","Spring Hill, FL",,Is there reduced pectoral muscle function after a subpectoral mastectomy reconstruction with implant?
Can breast size be corrected after radiation if you never had a mastectomy?,"August 26, 2019","Raleigh-Durham, NC",I had a lumpectomy for DCIS and am an A cup. The lumpectomy left the breast a little smaller than the other and I know radiation will cause fibrosis that will also cause a decrease in size over time. Can anything be done to correct the small breast after fibrosis has happened?,Can breast size be corrected after radiation if you never had a mastectomy?
"Vertical Lift: for a small amount of fullness on top, would fat grafting give the same as a tiny implant? Will I lose sensation?","August 27, 2019","Tampa, FL","I have had a mastectomy and reconstruction on the left side (since January 2019) In efforts to make my natural right breast more symmetrical, my surgeon is planning a lollipop vertical lift. I am 50, and a 36 B - small C. There is not much sag, but some that I notice more because the left breast is higher now. There is still discussion on whether to also put in an implant (very small) to achieve a little more fullness up top. I am wondering if fat grafting to this area would do the same thing? What is the chance of loosing sensation in the nipple/breast after a vertical (Lollipop) lift?","Vertical Lift: for a small amount of fullness on top, would fat grafting give the same as a tiny implant? Will I lose sensation?"
I have no breast tissue due to a double mastectomy. I have tissue expanders that fill to 350cc. What size should I expect to be?,"May 30, 2019","Waverley, 02",,I have no breast tissue due to a double mastectomy. I have tissue expanders that fill to 350cc. What size should I expect to be?
"Post breast augmentation, why are my nipples asymmetrical? (photo)","May 27, 2019","North Carolina, NC",I had very large aerola before surgery. I had a minor breast lift (lollipop) but the main concern in surgery was to reduce the size or the areola. I am 4 weeks post surgery now. Should I be concerned that my nipples are not exactly the same?,"Post breast augmentation, why are my nipples asymmetrical? (photo)"
Will I be able get have DD bra cup after double mastectomy and reconstruction surgery,"January 19, 2019","Bakersfield, CA","I I’m scheduled for a double mastectomy and immediate reconstruction surgery on March 12,2019 due to stage 0/1 breast cancer. I was told I could go back to my pre-kid size which was 36DD. I’m 6’0 and 153lbs. What type of implants should I get to get close to the 36DD I want. I’m have been trying to research myself but I get confused",Will I be able get have DD bra cup after double mastectomy and reconstruction surgery
"What differences am I likely to observe between L recon (implant, nipple and skin sparing) vs R glandular tissue remaining?","May 11, 2019",,L breast will be recon w/ an implant & ADM post LCIS > 5 cm/other risk factors. R breast will be monitored closely q 6 months. Symmetry would be the only reason to perform any procedures on the R. PS tells me unilateral mastectomy makes his job harder (r/t symmetry). He is concerned that when comparing one breast to the other I will grown dissatisfied. I am trying to imagine the implant under the skin (subpec - left side) compared to the right. please help me visualize it...,"What differences am I likely to observe between L recon (implant, nipple and skin sparing) vs R glandular tissue remaining?"
5 weeks post mastectomy with implant breast reconstruction. Can this be an implant ripple? (photos),"May 19, 2019",,"Hello! 5 weeks passed since I had my bilateral mastectomy with immediate reconstruction. My ps used Mentor implants Silltex cohesive I 350 cc high profile. I noticed from the begining this weird “bump” (for lack of a better term), but from what I’ve seen it looks more like a ripple. Please help me with an oppinion and some advice!",5 weeks post mastectomy with implant breast reconstruction. Can this be an implant ripple? (photos)
Is this an ok implant job? And what can be done to fix it? (photo),"May 17, 2019","Christchurch, NZ",I am 6 months post unilateral mastectomy with immediate reconstruction with implant and alloderm. I have consulted one plastic surgeon who told me I have no residual swelling but I am concerned at the vast difference in size. Is there anything I can do or will I need another surgery to correct it? Also I lost my nipple (despite it being a skin and nipple sparing mastectomy) is there anything that could be done to build a new one?,Is this an ok implant job? And what can be done to fix it? (photo)
Can I remove fibroadenomas and have reconstruction with implants at the same time?,"January 16, 2019",,I have 2 in the left and 5 in the right.,Can I remove fibroadenomas and have reconstruction with implants at the same time?
Is tug flap or a pap flap breast reconstruction options after a skin and nipple sparing mastectomy?,"July 9, 2019","Houston, TX",,Is tug flap or a pap flap breast reconstruction options after a skin and nipple sparing mastectomy?
I had a simple mastectomy in 1975 hernia under right breast. How best to check for the hernia?,"July 17, 2019","Dallas, TX",I had a simple mastectomy in 1975 due to repeated tumors. My silicone implants have been replaced twice insurance covered everything including the mastectomy. My right Breast is incapacitated and I believe it is due to a hernia underneath it at rib 5 or 6. Two questions how to best check for the hernia since the Breast is incapacitated and covers the area you can’t see the hernia and will Medicare cover this since I am 69,I had a simple mastectomy in 1975 hernia under right breast. How best to check for the hernia?
I have nipple lift 9yrs ago with 400cc textured Allergens is cancer link associated should I get checked out have them removed?,"July 14, 2019","Birmingham, GB","I had nipple lift 9yrs ago with 400cc textured Allergens.. I've never been completely happy with the work..I've been having problems for a couple of weeks with one... now after recent media headlines with the cancer link associated I really need some advice please.. What should I do to get myself checked out.. what are my options for having them removed and just my natural tissue reconstructed, also cost assessment of the work needed. Thank you",I have nipple lift 9yrs ago with 400cc textured Allergens is cancer link associated should I get checked out have them removed?
In the process of breast reconstruction. Need a PS that does fat grafting/nipple tattoos that accepts insurance locally (Photo),"September 28, 2018",Johnstown Pa ,Does Medicare pay for that ?? I feel like Humpty Dumpty as they put me bck together ...cancer takes everything..,In the process of breast reconstruction. Need a PS that does fat grafting/nipple tattoos that accepts insurance locally (Photo)
Over the muscle silicone implants?,"July 4, 2016","Charleston, SC","I had a prophylactic bilateral mastectomy in June 2016 (early last month). I currently have expanders in and will be having them removed and the implants put in, hopefully soon. The last time I saw my plastic surgeon he said that they will be cohesive silicone implants placed over the muscle. I am confused as to why they would be over the muscle if I no longer have breast tissue to help the look and feel of the implants. Is this a normal or expected practice? Thank you.",Over the muscle silicone implants?
"Could my implants be causing a chronic cough? Is it possible there is irritation, allergic reaction or a slow leak?","January 10, 2019","Washington, WA","2015 a double mastectomy w/reconstruction implants.2015 hospitalized 4 times with surgery, x-Ray when cough started, received chemo, back to work September 2015. irritation in my throat during chemo, coughing since surgery. 2018 got aggressive to identify source of the cough. Working w/pulmonologist, x-rays, breathing tests, allergy test, quite my job,concerns that the meat smoker,causing the cough, implants no change,but could there be irritation, allergic reaction, slow leak cause the cough?","Could my implants be causing a chronic cough? Is it possible there is irritation, allergic reaction or a slow leak?"
"Pinkness near incision after Strattice reconstruction. Want a second opinion, does this look infected? (photos)","January 17, 2019",,"Im 10 days post op on a Strattice reconstruction surgery for very thin skin under my breasts. I’ve been healing great with no pain. Last night I noticed pinkness forming underneath my incision and coming down. Sent my PS photos and he prescribed me a Zpack he’s not worried but it’s better to be safe than sorry. He had me outline the redness with a marker to track my progress of whether it stays the same, improves or worsens. Just want second opinions. Does this look infected ?","Pinkness near incision after Strattice reconstruction. Want a second opinion, does this look infected? (photos)"
Ruptured tissue expander replaced with a permanent implant after a wait of 3 months. It is very noticeably much smaller,"March 7, 2018",England,"The surgeon initially told me the whole prceedure would take 30minutes but it lasted 2 hours and surgeon said she had to do a lot of cutting. What can be done ,",Ruptured tissue expander replaced with a permanent implant after a wait of 3 months. It is very noticeably much smaller
Is implant possible for delayed breast reconstruction post Radiotherapy?,"October 19, 2016","New Zealand, NZ","1) Is implant an option post radiotherapy? Could be inserted a foreign material to expended breast to support thin skin rather than tissue flap from belly or back? 2) Would it be of any benefit if was fat injected to damaged skin to introduce healthy cells post radiotherapy (I mean now, 1 year post treatment)? Would this help my skin to recover and increase a chances of having implant reconstruction? 3) When to have reconstruction pre or post pregnancy? 4) Does reconstruction effect lymphoedema?",Is implant possible for delayed breast reconstruction post Radiotherapy?
"I have had radiotherapy to one breast & axilla. If I have a risk reducing double mastectomy, what are my reconstruction options?","June 21, 2015","Newcastle Upon Tyne, GB",I am exploring risk reducing double mastectomy due to family history. Have had WLE & axillary lymph node clearance. Having FEC-T followed by radiotherapy to the breast & axillary. What are my reconstruction options if I wait to have risk reducing surgery some time after radiotherapy?,"I have had radiotherapy to one breast & axilla. If I have a risk reducing double mastectomy, what are my reconstruction options?"
Breast expander ports moving. Should I be less active?,"May 6, 2019","Durban, 02","I had reconstructive breast surgery 3 months ago (tuburous breast correction). I now have expanders in with the exchange scheduled for December. The port on the right hand side is moved from under my arm to the top of my breast down to the areola which was also reconstructed. Is this normal? There is some pain. I am quite active, should I slow way down again? I have had 1 expansion with no more expansions scheduled, this port did however not function properly during the expansion. Thank you!",Breast expander ports moving. Should I be less active?
"Ballpark amount of fat for breast reconstruction? Im 54 and 130 lbs, 34B.","January 21, 2019","Bath, OH","Hello! I am having a prophylactic mastectomy in a few months which will involve above muscle silicone implants (after expanders) and fat grafting (to camouflage the implant) I’m 5’4 and 130 lbs, 34B in Victoria Secret hoping to go up to a C or D. How much fat can I expect to lose from the lipo part of the procedure? Trying to make lemonade out of losing my lemons :)","Ballpark amount of fat for breast reconstruction? Im 54 and 130 lbs, 34B."
"Is it possible to have all breast tissue removed due to severe fibricystic breasts, then have implants and reconstruction?","February 14, 2019","Toledo, OH","I am 30 years old. I have severe fibricystic breasts. It has been confirmed by ultrasound. My breasts have lumps that are tender and protrude from under the skin. Due to being adopted I have limited family medical history, however my biological mother passed from thyroid cancer. I have nursed 5 children and my breasts have lost a lot of volume. I have so many lumps in my breasts self exams are difficult. It may give me a peace of mind having my tissue removed, if it is even a possibility?","Is it possible to have all breast tissue removed due to severe fibricystic breasts, then have implants and reconstruction?"
I am only 5 days out of my swap exchange and my implant looks very flat and is more under my arm in the pit. Is this normal?,"March 4, 2019","Mesa, AZ",Does any of this look normal? All I do is cry every day because the one breast is so very small compared to the expander. Dr said drop and fluff does not apply to me.,I am only 5 days out of my swap exchange and my implant looks very flat and is more under my arm in the pit. Is this normal?
Can my implants still settle and change after breast reconstruction ? Its been 5 months (Photo),"February 24, 2019","San Diego, California",Had a double mastectomy last Jan with immediate reconstruction. Last Sept I had my second surgery and I have silicone implants. My left implant is position good and left seems to have room to move. When I stand my right implant moves towards center and is too close. When I lay down the breasts separate. Can my left implant still drop and move into place? My right implant is also a little lower. My surgeon tells me to wait at least 6 mo but what if my pocket is too big? Should I not wear a bra?,Can my implants still settle and change after breast reconstruction ? Its been 5 months (Photo)
Should necrotic fat lumps be removed before building up the lower pole of my breast lost to a previous fat grafting? (Photos),"February 17, 2019","Jersey City, NJ","After a fat grafting procedure I suffered massive fat necrosis and my breasts became uneven size, have deeps and protruding lumps (benign). Would you remove the hard lumps from the lower pole of my breast in the photo first and then re-graft it with fresh fat to fix contour irregularities or would you rather graft around and on top of the lumps? Lumps are 1-3 cm long and they sit very close to skin(1-3mm). I am afraid that with the 2nd approach lumps may change and shift in the future.",Should necrotic fat lumps be removed before building up the lower pole of my breast lost to a previous fat grafting? (Photos)
Can I have a larger silicone implant when my saline expander implant is removed? (photos),"April 2, 2017",NP22 ,I am having reconstruction. I was a 34A and asked if I could have an implant for 36A and then a small implant in the remaining breast. I was advised I might be able to be a 34B. Im being told that I can't have an implant in the remaining breast as it would be larger than my reconstruction. It is fully inflated with 50mg of silicone and 250mgs of saline but they are going to deflate it by 50mgs mgs.,Can I have a larger silicone implant when my saline expander implant is removed? (photos)
What should I expect to see in the healing process of a nipple areola graft? (photo),"March 13, 2017",Californa,"What should I expect to see in the healing process of the black area of my ariola nipple graft? I'm keeping it moist. Also what is the best thing to do to soften the scar from the graft sight? Massage, oil, sylicone strips, all of the above? I'm finally done with the long prosess of the effects of breast cancer and I did all reconstruction with my own skin and fat.",What should I expect to see in the healing process of a nipple areola graft? (photo)
Can I get sliding implants out and a GAP flap reconstruction instead? (Photos),"October 21, 2016","New Zealand, NZ","I had a breast reduction, which led to a BMX with expanders which I had a terrible reaction to. PS drained off 300ml of fluid in the exchange. But it created pockets that were way too big for the 270cc implants. Four months on, they are sliding down my ribcage and into my armpits. PS refuses to reduce the size of the pocket in repair. He says just internal stitches will suffice but with this much implant mobility I am highly skeptical. Is there any reason why I can't do a GAP flap now?",Can I get sliding implants out and a GAP flap reconstruction instead? (Photos)
