Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header,Question Type,Tag
Are my JP drains post reconstructive surgery creating my Frankenboob look?,"April 19, 2016","United Kingdom, GB","I'm 5 days post my direct to implant nipple sparing mastectomy. I have spent 100 of hours looking at reconstructive photos and thought I was realistic about results. I wasn't expecting perfection. However, I am worried by the shape of my reconstructed breasts. They are incredibly lumpy and have beep ridges as well as look more like pecs than breasts. Are the ridges and lumps due to the presence of the JP drains? Will projection improve once my chest muscle has relaxed?",Are my JP drains post reconstructive surgery creating my Frankenboob look?,After Procedure Only,mastectomy
Should I be worried about an oozing pinhole on my mastectomy scar line 3 months after surgery? (Photo),21-May-16,"Kansas City, MO","Had double mastectomy with reconstruction about three months ago. Discovered a hole on my right breast today where my Ariola/nipple were tattooed on my scar line. Not only is the hole oozing a thick pale yellow substance, it is also allowing air in between my implant and my breast tissue. So if I slightly press on my breast, air will escape through the tiny pinhole. Is this normal? Is this a sign of more things to come?",Should I be worried about an oozing pinhole on my mastectomy scar line 3 months after surgery? (Photo),After Procedure Only,mastectomy
Is it normal to have drains in 7 weeks after mastectomy and expanders?,18-Jul-16,"Montgomery, AL",I have have been getting expanded aggressively every 7 to 10 days. Still producing 40 to 60 cc per day. Are there other options to help with the drainage? Could something be wrong?,Is it normal to have drains in 7 weeks after mastectomy and expanders?,After Procedure Only,mastectomy
I am about 7 months removed from reconstruction and swelling!,3-Aug-16,"Seattle, WA","I am about 7 months removed from my reconstruction following a prophylactic mastectomy. I am your perfectly healthy 25 year old whose recovery was nothing but normal. One day I realized my right breast was larger (swollen) than normal and was irritated. Not the skin but under the tissue. Its gotten uncomfortable enough that it wakes me up at night, I can no longer sleep on my belly (I was able to a few months after). What is going on? My surgeon said my implant is intact and not impacted.",I am about 7 months removed from reconstruction and swelling!,After Procedure Only,mastectomy
Natrelle inspira implants for reconstruction?,31-Aug-16,"Miami, FL",Hello. I currently have implants over muscle tear drop. I am a mastectomy reconstruction patient. I'm looking to change to a fuller look due to rippling and I want upper pole fullness. I've had 2 sessions of fat transfer and the fat isn't taking on one breast versus the other. How common are inspiras implants in reconstruction patients? Do they give great results? Thank you,Natrelle inspira implants for reconstruction?,After Procedure Only,mastectomy
I had a mastectomy and reconstruction 2 weeks ago. My surgeon has decided to remove my nipple as there was more stage,15-Mar-16,"Norfolk, VA",O grade 3 cancer than thought. The nipple is brown and shriveled. Looks like it did not survive the surgeons efforts to save it. The procedure is tomorrow. What can I expect?,I had a mastectomy and reconstruction 2 weeks ago. My surgeon has decided to remove my nipple as there was more stage,After Procedure Only,mastectomy
Can one breast look different if there were used the same type and size of implants for breasts reconstruction under muscles?,28-Mar-16,"Los Angeles, CA","Can one breast look different (narrower breast) than the other if there were used the same type and size of implants placed under muscles for reconstruction? I had modifed radical mastectomies,chemo and no radiation. I am about 10 weeks post reconstruction,cohesive gel implants under muscl.Right breast is narrower, less wide than left one. I notice right one smaller than the left and it hurts when I over use muscle. How can this be possible if identical implants were used? How could be solved?TX",Can one breast look different if there were used the same type and size of implants for breasts reconstruction under muscles?,After Procedure Only,mastectomy
How to successfully completely close an incision that still oozes clear yellow fluids?,"April 6, 2016","Brampton, ON",It has happened after the saline implant was replaced with a gel one in the breast for more comfort. Original reconstruction was done as one step with the mastectomy in June of last year and healed with no problem. The replacement was done in December.,How to successfully completely close an incision that still oozes clear yellow fluids?,After Procedure Only,mastectomy
Unhappy with breast reconstruction after mastectomy. What methods are available for scar revision besides surgery? (photos),25-Dec-15,"Houston, TX","I had breast cancer in my left breast. I had chemo and radiation. I had minor lift in my right beast, which caused the scar on my right breast. What methods are available for scar revision besides surgery? I'm not happy with the 410 implant in my left breast because aside from the fact that it does not create symmetry with my right breast, it is much harder to the touch. Im hoping I can get more symmetry between the two breasts and a bit larger, as well finding a way to improve my scars.",Unhappy with breast reconstruction after mastectomy. What methods are available for scar revision besides surgery? (photos),After Procedure Only,mastectomy
I just had breast reconstruction after mastectomy due to breast cancer. Is it normal to have 2 different implants put in?(photo),"April 14, 2016","Boston, MA","My ps suggested 2 differnt forms for my implants. """"gummy bear"" for mx side, round for the other. I did have radiation and he suggested flap but I didn't want the surgery. After a year of the te and 4 months out of radiation, he agreed that the implants were fine. Looking straight on they are ok. the profile is off quite a bit and the obvious feeling is different. One very hard and one soft. I know there will never be perfection but the difference in feeling is awful. Is this common practice?",I just had breast reconstruction after mastectomy due to breast cancer. Is it normal to have 2 different implants put in?(photo),After Procedure Only,mastectomy
Why do I have to have expander rather than immediate implants after my skin and nipple sparing mastectomy? (photo),"April 3, 2016","Cincinnati, OH","I was diagnosed with Stage 1 breast cancer 8 years ago when I was 35. Last month, stage 1 reoccurrence in the same breast and had a double skin and nipple sparing mastectomy with expanders. 1 week ago, I developed an infection in the radiated breast and expander was removed. Before the mast. I had D cup implants. My dr. is telling me I have to wait 6 months to try again and I don't understand why we can't skip the expander process and put an implant in. I would even go smaller. Options?",Why do I have to have expander rather than immediate implants after my skin and nipple sparing mastectomy? (photo),After Procedure Only,mastectomy
I have a good size indent after breast reconstruction after mastectomy and wrinkles is it wrong to ask plastic surgeon fix this?,19-Sep-16,"Watertown, NY",,I have a good size indent after breast reconstruction after mastectomy and wrinkles is it wrong to ask plastic surgeon fix this?,After Procedure Only,mastectomy
Mastectomy 12/22 with immediate reconstruction. Since day one with expanders left was larger than right?,10-Nov-16,"Angier, NC","Hi guys - masecto 12/22 with immediate reconstruction. Since day one with expanders left was larger than right. PS said they'll even once implants go in. 7/18/16 exchange surgery occurred. Put 650's on both side, but left is so much larger?? Why is this? PS said it was s collapsed muscle and I have to deal, I don't feel I should settle. Had I known there'd be such a visible difference in size, I would not have chosen reconstruction.",Mastectomy 12/22 with immediate reconstruction. Since day one with expanders left was larger than right?,After Procedure Only,mastectomy
Young Mastectomy Patient - 800cc. Can I Go Larger?,20-Dec-10,"Orange County, CA","Double mastectomy: reconstructed with 800cc/high profile/gel/below muscle. Even with such a large implant, it&#39;s NOT close to my size before surgery. I have a large amount of rippling. Are there ANY custom made implants? I am only 26, and NEVER expected a mastectomy so young, so it&#39;s important to be as close to what I was before surgery: a 38DD. Now I&#39;m a C. Ideally I want to be a DD again. I&#39;m 5&#39;5 160 lbs, large frame by elbow breadth measurement. can this be done? Or is this impossible?",Young Mastectomy Patient - 800cc. Can I Go Larger?,After Procedure Only,mastectomy
My scar from 1 week post op mastectomy has me alarmed? (Photos),14-May-17,"Bay Minette, AL","I read all the books went to so many internet sites to educate myself. I thought I had asked all the right questions, but when I looked at pictures I never really saw my large fleshy breasts (38 G) I saw lots of t shaped scars and small vertical ones. But mine are 10 inches this is just a reflection on the large breasts i used to have and not my surgeon or more i info and questions that I should have asked. Yes? I can talk with my ps but he's gone on a medical mission now. Thank you for reading this",My scar from 1 week post op mastectomy has me alarmed? (Photos),After Procedure Only,mastectomy
Before and after double nipple sparing preventative mastectomy. What are this risks for nipple necrosis? (Photos),23-Jun-17,"Las Vegas, NV",I had a double profelactic mastectmay 7 days a go. Over the muscle high profile direct to implant 425ccs. I am 5'3'' and 118 lbs and was an a/b size before and now am a 36C. What is the usual timeline nipple necrosis begins? And when do I know I am in the clear?,Before and after double nipple sparing preventative mastectomy. What are this risks for nipple necrosis? (Photos),After Procedure Only,mastectomy
BL/nipple sparing mastectomy s/p DCIS/LCIS right side. Failed immediate recon 10 days post due to necrosis. Won't heal? (photo),10-Jul-17,"Durham, NC",Expander placement 6 months later. Have widened area of scar tissue at distal end of vertical incision that has peeled since surgery for last 2 months. Had small area open 2 weeks ago with no expander exposure which is scabbed back over. PS held off on last fill to allow healing. I requested to have saline removed from expander. PS removed 60cc. I moisturize with Aquaphor daily to no avail. Constant flaky skin. PS has offered no explanation. I cannot find any reason for constant peeling scar.,BL/nipple sparing mastectomy s/p DCIS/LCIS right side. Failed immediate recon 10 days post due to necrosis. Won't heal? (photo),After Procedure Only,mastectomy
What do you do when your body reacts poorly to surgical clips used during a mastectomy? (photos),22-Nov-16,"Ludowici, GA",I have one breast that healed well and one that did not heal and the sutures burst and an open wound was treated and managed for 7 months following matectomy and reconstruction.,What do you do when your body reacts poorly to surgical clips used during a mastectomy? (photos),After Procedure Only,mastectomy
I had a prophylactic nipple-sparing mastectomy. How much can an expander be over-filled?,11-Jan-17,"Asheville, NC",Without discussing anything with me - like what cup size I want to be - my plastic surgeon decided to put in a 350 cc expander. I've had 3 fills so far at 90cc each. He finally asked what cup size I want to be and I told him a "D" cup. His response was "we'll try for that." My sister needed 550 ccs to be a "C" cup and we're built a lot alike so I think I'm going to need at least 650 ccs to be a "D" cup. Can a 350 cc expander be filled to 650 ccs?,I had a prophylactic nipple-sparing mastectomy. How much can an expander be over-filled?,After Procedure Only,mastectomy
Is it normal to feel like you have an appendage attached after mastectomy?,11-Jul-17,"Palm Beach Gardens, FL","It is a constant heaviness & tightness across back & breast.I had physical therapy,massages with minimal relief.I had mastectomy on left breast & reconstruction using my back muscle & tissue, I still have discomfort",Is it normal to feel like you have an appendage attached after mastectomy?,After Procedure Only,mastectomy
Will I Be Able to Lift Weights After Reconstruction with Implants? ,6-Aug-11,"Jefferson, GA","I currently lift weights and play the violin and am worried about the alteration of the pectoral muscle involved in placing the implants. I am 4 yrs past bilateral mastectomy. Do you foresee any problems with prolonged periods of playing the violin, or lifting weights?",Will I Be Able to Lift Weights After Reconstruction with Implants? ,After Procedure Only,mastectomy
Had my right breast removed due to cancer. Expanding to 850cc. Expander looks too small?,21-Dec-17,Red Oak Tx,My doctor says it will be a c cup when done. I only have 120 cc left to fill and it looks more like a A cup. I am having a reduction on the left breast when he does the change out. Is the expander the size I will be after. I look at other people pictures and my expander is no we're as big as there's are. It just looks very small.,Had my right breast removed due to cancer. Expanding to 850cc. Expander looks too small?,After Procedure Only,mastectomy
Should I be worried. Has this skin graft failed? 2 weeks post breast reconstruction with mastectomy. (photos),28-Dec-17,"Nashville, TN",I am post 2 weeks today of my preventive mastectomy w/reconstruction. I have nipple skin grafts where one looks like it is taking pretty well the other has a small spot where the skin stuck to the gauze the dr put on so it pulled. It looks better each day. After the bolster dressings came off they were both collapsed the right one protruded within a few days but the left has not. I?? just worrying myself to death about the left one. Should I just give it Time to heal and continue what I?? doing?,Should I be worried. Has this skin graft failed? 2 weeks post breast reconstruction with mastectomy. (photos),After Procedure Only,mastectomy
After removal or expanders due to Infection do you need to start expander process again or just go to an implant?,11-Nov-17,"Portsmouth, NH",I had a double mastectomy 7/17 with expanders placed. Developed a red lower area on left breast. Tender to the touch but no fever or warmth on skin. Finally expander removed p. acnes infection grew on the cultures. I have skin that is adhered too the chest wall. Working with PT massaging skin. My PS said we don't need to do the expander process again and can just put in the implant. Does that sound right? Also any advise on getting skin ready for surgery?,After removal or expanders due to Infection do you need to start expander process again or just go to an implant?,After Procedure Only,mastectomy
Best way to fix this bulge caused from tethering of underlying skin to membrane around the implant? 1 month po. (photo),29-Dec-17,"Claremont, CA",This embarrassing bulge has been there since mastectomy aug. 2017. My exchange surgery 12/2017. That deep crease is where it?? tethered.,Best way to fix this bulge caused from tethering of underlying skin to membrane around the implant? 1 month po. (photo),After Procedure Only,mastectomy
Why is one of my breasts rock hard after mastectomy and reconstruction?,1-Feb-18,"Newcastle Upon Tyne, GB","I have the brca 2 gene and got breast cancer. When I awoke, the breast was rock hard.The implant also did not completely fill my breast and there was a dent at the top. I went to another surgeon who removed the implant and performed a mastectomy on the other breast. She inserted expanders in both breasts. Implants were inserted a while later.The breast that was rock hard is still the same. No one will give me any explanation other than they don't want me having any more operations",Why is one of my breasts rock hard after mastectomy and reconstruction?,After Procedure Only,mastectomy
Expander to implant exchange post single mastectomy. Implant going to be larger than fill. Advice?,3-Jan-18,"Springfield, MO","My expander is currently filled to 580cc, my surgeon ordered a high profile 700 cc implant for the exchange. I don?? understand bc they said to overfill bigger than implant so why would she order 120 cc larger, also worried 700cc is way to big for me. I?? 5????and 120 lbs. I only learned of the size she orerded when I met with the scheduler so I?? trying to decide if I should make an appointment to discuss my fears or just trust her.",Expander to implant exchange post single mastectomy. Implant going to be larger than fill. Advice?,After Procedure Only,mastectomy
History with left breast mastectomy. Left breast has Mentor implant. How do I achieve symmetry? (photos),21-Sep-17,"Houston, TX",I had rhabdomyosarcoma in my early teens. I'm 31 y.o. I have had some reconstructions in the past. No implant in right breast. I'm looking to get the most symmetry achievable in both breasts,History with left breast mastectomy. Left breast has Mentor implant. How do I achieve symmetry? (photos),After Procedure Only,mastectomy
"Normal to have slow healing/bruised nipples after preventative mastectomy, as well as to add more saline to this side? (Photo)",30-Sep-17,"Atlanta, GA","I had a preventative double mastectomy on 9/21/17. I visited my PS last week and have to keep my drains in, however my left nipple has delayed healing. It was ""bruised"" and is now peeling, and I am doing twice daily wet dressing changes. This side (left) has 350cc of saline, however in surgery showed less blood flow than the right side. The right side has only 300cc of air and is doing very well. Is this normal, and could this have been a mistake to place MORE volume on the affected side?","Normal to have slow healing/bruised nipples after preventative mastectomy, as well as to add more saline to this side? (Photo)",After Procedure Only,mastectomy
What procedure provides better long term results and less scars Latissimus flap or stacked DIEP?,"April 28, 2015","Knoxville, TN",I had right breast mastectomy with implant reconstruction. Got infection. Implant was removed. New expander was placed followed by implant. At nipple reconstruction skin graft from hip was used. 2 weeks later I got infection after stitches removal. Now I have to choose between latissimus and stacked DIEP flap. I am concerned loosing muscle as well as scars. Both options look bad. I wanted to ask why scars from DIEP are so long. It looks like you never be able to put a separate swimsuit on.,What procedure provides better long term results and less scars Latissimus flap or stacked DIEP?,After Procedure Only,mastectomy
What to do to help my incision open after 4 weeks of surgery and not closing - help!,"April 16, 2018","Oxnard, CA",its been a 4 weeks since i got a breast lift and implants mastectomy i believe is called and my incision on one of my breast is open and appears to get larger no signs of fever nor pain but it looks bigger a little yellow some spots white like its trying to heal and a bit of blood here and there why is this happening should i have my PS but me those tapes again.,What to do to help my incision open after 4 weeks of surgery and not closing - help!,After Procedure Only,mastectomy
Is there a way to make my natural side nipple more symmetrical to mastectomy side? (Photos),8-Oct-18,"Tennessee, TN","I had a nipple sparing unilateral mastectomy last year with my reconstruction just a week ago. Although my mastectomy was nipple sparing, my nipple never really ""poked out"" again. My surgeon did a prepectoral implant on the mastectomy side and dual plane implant on natural side. Now my natural side nipple really protrudes. Now my mastectomy side is round/full with flat nip and natural side is not as round/full and pokey. Is there a way to correct this?",Is there a way to make my natural side nipple more symmetrical to mastectomy side? (Photos),After Procedure Only,mastectomy
"Nipple sparing mastectomy with reconstruction with ADM, Mentor Siltex round moderate plus profile cohesive 1. Advice? (photos)",5-Jun-18,"Germany, DE","Operation 3 month ago in Germany.After chemotherapy.I think the implants are too high.The nipple looks down.At the bottom of the breast,the skin is as if empty,it is not stretched over the implant.Feeling that there is a lot of excess skin.If I'm hunched,it turns out quite ugly.I can conclude that the operation was performed incorrectly?Or has not so much time passed and the dermal matrix should stretch and the appearance will change?Also you can see the edges of the implant.","Nipple sparing mastectomy with reconstruction with ADM, Mentor Siltex round moderate plus profile cohesive 1. Advice? (photos)",After Procedure Only,mastectomy
I have an increasing amount of bruising to a temporary implant that has been in for two years. Is this normal? (Photo),8-Nov-18,"Auburn, AL","Temporary implant to one side after mastectomy still there two years later, is due to be removed but still waiting , bruising to skin is expanding. Is this normal or am I unwell?",I have an increasing amount of bruising to a temporary implant that has been in for two years. Is this normal? (Photo),After Procedure Only,mastectomy
My left breast expander is much higher than my right natural breast. Is this normal? (Photo),8-Nov-18,"Brooklyn, NY","I had a left breast mastectomy and have an expander in place. Approx 100 cc of saline was injected one month post mastectomy. More injections will follow in the coming weeks. If I continue getting more saline to the desired outcome (C cup), then replace it with an implant, will left breast even out with the right breast? I plan to get an implant in the right breast too. My concern is how high left is currently and for future injections and implant.",My left breast expander is much higher than my right natural breast. Is this normal? (Photo),After Procedure Only,mastectomy
Why are my implants still feeling excessive clenching under pectoral muscle?,11-Nov-18,"Oak Lawn, IL","I had immediate reconstruction after mastectomy July 31 2018, 225cc. Nipple sparing. They just never seemed to move downward. Plastic surgeons want to see me after chemo, which is another 12 weeks from now. When I voiced my concerns they brushed it off like I need to give it more time. But I feel like, I am pretty strong and I can?? believe all patients are going through this, while enduring chemo. Please tell me if this is normal.",Why are my implants still feeling excessive clenching under pectoral muscle?,After Procedure Only,mastectomy
Should you be able to feel the alloderm sling as it heals or is this capsular contracture.,27-Nov-18,"Littleton, CO",I'm 2 weeks out from a mastectomy + prepectoral direct to implant. On one side I can feel a hardness almost in the sling shape.,Should you be able to feel the alloderm sling as it heals or is this capsular contracture.,After Procedure Only,mastectomy
"Had breast reconstruction. I am get afraid if I loose weight the fat graft will change, how much wight loss would affect that ?",22-Sep-18,"Montreal, QC","Hi , I did reconstruction breast surgery and it is consist of implant and fat graft , the one was 315 cc with too much fat graft due to radical mastectomy, and other one is 495 cc because it was nipple sparing mastectomy,I am get afraid if I loose weight the fat graft will change , how much weight loss would affect that ?","Had breast reconstruction. I am get afraid if I loose weight the fat graft will change, how much wight loss would affect that ?",After Procedure Only,mastectomy
Does breast augmentation on older female require additional periodical maintenance as the sagging continues in the breast?,9-Sep-18,"Independence, Kansas","I am 55 year old female who had mastectomy and later implant on my right side, and now one fat grafting. My left side had been reduced to Size B, but now it started to sag. I though breast augmentation with implant should lift my good breast up and also flatten it a bit in order to get some symmetry. But my Surgeon said that I will require ??aintenance??every 2-3 years because the natural sagging continues. I thought once the implant is in, no further ??ork??requires on it.",Does breast augmentation on older female require additional periodical maintenance as the sagging continues in the breast?,After Procedure Only,mastectomy
Implant reconstruction. Is my left side inframmary fold higher than my right side?,"April 10, 2015","Singapore, SG","7 weeks post mastectomy with implant reconstruction with Alloderm. My left side looks less natural and I noticed the distance between my inframmary fold and my nipple. Can this still be fixed? How? Will fat grafting solve this and if the fold needs to be lowered, does this involve another surgery? Thank you.",Implant reconstruction. Is my left side inframmary fold higher than my right side?,After Procedure Only,mastectomy
Temporary expander: the inside is so hard. I can't sit up straight without it hurting.,"April 7, 2018","Illinois, IL","I had my masctomy on Feb 27 2018 and I have already been filled up with over 690cc. Not including being put back into the hospital because of what they call Seroma. Whenever I ask my plastic surgeon they won't answer us and make an excuses of why they have to leave the office. My breast feels like a river rock is sitting on my chest. I can't sit up straight without it hurting, can't sit up and lean over on my legs. I can't even get small items from the refrigerator if it's on top shelf. Help",Temporary expander: the inside is so hard. I can't sit up straight without it hurting.,After Procedure Only,mastectomy
Is this amount of swelling normal 16 days after mastectomy?,16-Sep-16,"United Kingdom, GB","I am 16 days out from surgery but I feel like my breasts are getting bigger in the last few days, since I had the dressings removed two days ago and started using my arms more I feel more swollen is this normal? The bras which were lose on me last week now fit snugly",Is this amount of swelling normal 16 days after mastectomy?,After Procedure Only,mastectomy
I would like to be a 34 B/C after double mastectomy. Can I get a smaller implant?,3-Sep-18,"Phoenix, AZ","I was diagnosed DCIS.?On August 6, 2018 I had a nipple sparing double mastectomy with expanders placed. I am 5?? 120 lbs .The Dr filled me to 475cc in one visit.?I would like to be a 34 B/C. Can I get a smaller implant?? What size is recommended?",I would like to be a 34 B/C after double mastectomy. Can I get a smaller implant?,After Procedure Only,mastectomy
Do I Need Yearly Mammograms or MRI After Breast Cancer and Reconstruction?,7-Sep-10,"Indiana, IN",I had mastectomy Oct 2008. Reconstruction finished June 2009. Do I need a yearly mammogram or MRI to continue to look for cancer?,Do I Need Yearly Mammograms or MRI After Breast Cancer and Reconstruction?,After Procedure Only,mastectomy
5 weeks post mastectomy with implant breast reconstruction. Can this be an implant ripple? (photos),19-May-19,,"Hello! 5 weeks passed since I had my bilateral mastectomy with immediate reconstruction. My ps used Mentor implants Silltex cohesive I 350 cc high profile. I noticed from the begining this weird ??ump??(for lack of a better term), but from what I??e seen it looks more like a ripple. Please help me with an oppinion and some advice!",5 weeks post mastectomy with implant breast reconstruction. Can this be an implant ripple? (photos),After Procedure Only,mastectomy
Is this an ok implant job? And what can be done to fix it? (photo),17-May-19,"Christchurch, NZ",I am 6 months post unilateral mastectomy with immediate reconstruction with implant and alloderm. I have consulted one plastic surgeon who told me I have no residual swelling but I am concerned at the vast difference in size. Is there anything I can do or will I need another surgery to correct it? Also I lost my nipple (despite it being a skin and nipple sparing mastectomy) is there anything that could be done to build a new one?,Is this an ok implant job? And what can be done to fix it? (photo),After Procedure Only,mastectomy
My breasts are uneven after reconstructive surgery. What is your opinion of the left breast reconstruction and implant? (photo),9-Mar-16,"United Kingdom, GB",Jun 2015 I had Left breast mastectomy. During the op. an expansor bag was fitted. On Jan 5 2016 I had reconstructive surgery inserting implants into both breasts. My understanding was that the L breast is rebuilt and would be firm and well shaped and R breast adjusted to mirror the reconstructed breast. In reality the R breast is now a good shape and firm but the L breast does not resemble it at all and is fallen. I don?? see how the L breast can possibly uplift to match the other one.,My breasts are uneven after reconstructive surgery. What is your opinion of the left breast reconstruction and implant? (photo),After Procedure Only,mastectomy
What would cause small patches of light pink/redness on breast two years after mastectomy/reconstruction? (photo),7-Sep-17,"Washington, DC","I am BRCA+ and had a prophylactic mastectomy with tissue expanders about 2.5 years ago, silicone ""gummy bear"" implants 6 months later. I recently noticed some light pink areas on the breast and mild pain in the area (I have almost no breast sensation, so any kind of pain seems odd). Wondering what might cause it. Also curious if prophylactic mastectomy reduces risk of Inflammatory Breast Cancer, or if that might be a viable concern. I am 31; surgeries done at 28. Thank you!",What would cause small patches of light pink/redness on breast two years after mastectomy/reconstruction? (photo),After Procedure Only,mastectomy
What's the Average Recovery Time of Breast Reconstruction for a Mastectomy?,31-Aug-11,,,What's the Average Recovery Time of Breast Reconstruction for a Mastectomy?,After Procedure Only,mastectomy
Why do I keep getting an infection when my right tissue expander in placed?,22-Dec-13,,In Sept 2012 I had a bilateral mastectomy. expanders where placed at the time of the mastectomy. In Octof 2012 the right tissue expander was removed due to infection. In Nov after antibiotics the expander was replaced. looked good until Dec when the infection reoccurred and it was decided to remove expanders to give my body time to heal. Nov2013 I had expanders put in and Dec noticed that the right side was looking red by Sun headed for the er and meet with surgeon to have the right removed,Why do I keep getting an infection when my right tissue expander in placed?,After Procedure Only,infection
I wonder why there is such a variation in an answer? From infection/cellulitis to just watch it.,15-Feb-14,,"I know it is hard to assess from a picture. My PS says its a little fluid and will dissipate. He doesn't think it's infection or a reaction to the alloderm or ""red breast"". The bra pressure does irritate it so bigger bras it is. Is some better, no worse. He has seen it 2 wks in a row. I have no fever or other signs if infection. It's a bit more red currently because I had a tighter bra on for 14 hrs today at work.Here is a?link to my previous question.",I wonder why there is such a variation in an answer? From infection/cellulitis to just watch it.,After Procedure Only,infection
"After 3 Failed Breast Reconstructions, Can I Try for a 4th to Correct the Disasters I've Suffered?",2-Jul-13,,"Between infections and rejections, I have had three failed reconstructions. My right breast was removed due to cancer. The doctor attempted to make my breasts look similar - all three endeavors were horrible. I look like a melted Dairy Queen cone. I really want to look normal. Will another surgery help?","After 3 Failed Breast Reconstructions, Can I Try for a 4th to Correct the Disasters I've Suffered?",After Procedure Only,infection
Developed an Infection and Have a Hole With Dying Tissue in My Right Breast After Tram Flap?,1-Sep-13,,"currently we are flushing and packing it , smells really bad. this area recieves blood supply last, so can this heal? does blood supply correct itself somehow?",Developed an Infection and Have a Hole With Dying Tissue in My Right Breast After Tram Flap?,After Procedure Only,infection
Legs and ankles swelling after breast implants due to breast cancer. Is this normal?,28-Jun-17,"Atlanta, GA",,Legs and ankles swelling after breast implants due to breast cancer. Is this normal?,After Procedure Only,implant
Care of Implants After Swapover from Expander. Can I Go in Water?,6-May-12,Sydney,"I am in the middle of a breast reconstruction, and am having my expander swapped over for the implant on the 13th June. We are booked to go on a cruise on the 1st July. I plan on taking it easy, but was wandering if I will be able to get in the water while we are at some of the tropical islands. I am guessing I will not be able to actually swim, but would love to be able to get in the water to get wet, keep cool and have some fun. Do you think it will be OK with 2 1/2 week old implant???",Care of Implants After Swapover from Expander. Can I Go in Water?,After Procedure Only,implant
"I Had Breast Implants Due to BC 3 Years Ago, on the Outside Breast It Won't Stop Itching?",4-Feb-13,,"I had breast implants due to BC 3 years ago, on the outside breast it won't stop itching, what causes this?","I Had Breast Implants Due to BC 3 Years Ago, on the Outside Breast It Won't Stop Itching?",After Procedure Only,implant
Implants After Breast Reconstruction? (photo),28-Jul-13,,Two years ago I had breast reconstruction surgery on one side and a cosmetic lift on both. Is it possible to have implants put in after all this time? Is the scar tissue an impediment; will the scars be exaggerated? These scars are healing very nicely; still I want to have the implants done and I am hoping the effects of more surgery would be as unremarkable as the first.,Implants After Breast Reconstruction? (photo),After Procedure Only,implant
"Double Mastectomy 4 Years Ago Followed By Implants, Two Fat Transfers, Capsular Contraction?",7-Oct-13,,I had a double mastectomy four years ago followed by implants. I have had two fat transfer and all of the sudden three moths later have tenderness and a lump with dimpling. Thoughts?,"Double Mastectomy 4 Years Ago Followed By Implants, Two Fat Transfers, Capsular Contraction?",After Procedure Only,implant
"3 month post op of Breast cancer reconstruction, there is a small leak. Is this normal?",6-May-14,,"I have had a pinhole size leakage off and on since I had implants put in 3 months ago. Liquid is very light yellow, never changes, watery.","3 month post op of Breast cancer reconstruction, there is a small leak. Is this normal?",After Procedure Only,implant
Breast implants after cancer. Should I look like this? (Photo),2-Jul-14,"Madras, OR",I had breast cancer 7 years ago breast implant 6 years ago and staples left behind am I supposed to look like this,Breast implants after cancer. Should I look like this? (Photo),After Procedure Only,implant
"After a Mastectomy and Tissue Expansion, How Long Before the Final Implants Are Put In?",18-May-12,,"After a Mastectomy and Tissue Expansion, How Long Before the Final Implants Are Put In?","After a Mastectomy and Tissue Expansion, How Long Before the Final Implants Are Put In?",After Procedure Only,implant
On July 8th of this year I had a double mastectomy with reconstruction. The alloderm & expander were inserted on the same day?,17-Oct-13,,Two weeks later the left side had to come out due to infection. During this operation the Surgeon took both the expander and aloderm out. Two weeks later my right side became infected and he took out only the expander. Two weeks after that I had to get the aloderm out which was left in. I was assured that there is nothing in there and there is no chance of infection....well here I am again going tomorrow to possibly be aspirated due to infection. Is there something I'm doing wrong?,On July 8th of this year I had a double mastectomy with reconstruction. The alloderm & expander were inserted on the same day?,After Procedure Only,infection
"Alloderm infection after surgery, softening of the breasts after bilateral nipple sparing mastectomy and sensation (Photo)",16-Mar-14,,"1) if the alloderm is going to get infected after reconstructive surgery for breast cancer, how soon after the surgery is it typical for the infection to occur? 2) does a reconstructed breast (after nipple sparing mastectomy for breast cancer) with an implant behind the pectoralis muscle and using an allograft -- get softer with time? How soon? 3) Also, does sensation to the breast and nipple ever return after the surgery above?","Alloderm infection after surgery, softening of the breasts after bilateral nipple sparing mastectomy and sensation (Photo)",After Procedure Only,infection
Options for Breast Reconstruction After an Infection?,5-Jun-09,California,"I had a bilateral mastectomy done, and I had breast implants placed in both breast. I had expanders put in, and had radiation along with a boost. This past January, the implants where put in. Then in April of this year,  right breast got an infection. The infection tore a large whole in my breast, so my plastic surgeon removed the implant in my left breast. I don't have  much skin there because it was removed. My reconstructive surgeon suggested that I get a TUG Flap. I am very concerned about this having this procedure done because I know that it is not performed much and is new. Do you have any suggestions?",Options for Breast Reconstruction After an Infection?,After Procedure Only,infection
Should I get a second opinion for my Breast Reconstruction/Revision surgery? (photos),15-May-14,"Hesperia, CA","2011 triple neg on my left breast, BRCA1, chemo and bi-lateral mastectomy with radiatin to the left chest wall. Waited a year and began reconstruction with tissue expanders. I had an infection on my left and was treated with antibiotics. I am currently expanded to 575cc on my right and 595 on my left, left side is thin, tight and reddish in color and has some level of CC, It's hard and flat and high on the chest. My DR says he will fix this when I swap for implants in July. Should I switch DR?",Should I get a second opinion for my Breast Reconstruction/Revision surgery? (photos),After Procedure Only,infection
